 startX, startY, startZ, startAngle, goalX, goalY, goalZ
-1.603,-1.392,-0.326,3.145,-1.902,3.747,-0.309
-1.902,3.747,-0.309,3.842,-4.754,10.251,-0.113
-1.603,-1.392,-0.326,3.145,-3.519,6.406,-0.334
-3.507,8.707,-0.32,2.617,0.118,0.982,-0.314
-0.035,-0.032,-0.329,1.549,-1.857,10.082,-0.315
-2.932,2.623,-0.328,1.555,-3.446,9.56,-0.334
-1.603,-1.392,-0.326,3.145,-3.709,3.409,-0.328
-2.88,1.056,-0.328,3.159,-5.815,8.112,-0.32
-3.519,6.406,-0.334,3.083,0.241,9.735,-0.315
-2.932,2.623,-0.328,1.555,-2.125,8.545,-0.323
-2.796,0.126,-0.323,4.341,-3.446,9.56,-0.334
-2.796,0.126,-0.323,4.341,-3.519,6.406,-0.334
-6.44,4.799,-0.316,5.604,0.118,0.982,-0.314
-2.002,2.958,-0.32,2.487,-1.857,10.082,-0.315
-2.002,2.958,-0.32,2.487,0.241,9.735,-0.315
-2.796,0.126,-0.323,4.341,0.241,9.735,-0.315
-1.603,-1.392,-0.326,3.145,0.134,7.154,-0.312
-6.44,4.799,-0.316,5.604,-1.248,6.31,-0.316
-0.035,-0.032,-0.329,1.549,-3.519,6.406,-0.334
-3.709,3.409,-0.328,4.149,-4.754,10.251,-0.113
0.241,9.735,-0.315,1.069,-4.754,10.251,-0.113
-3.709,3.409,-0.328,4.149,0.134,7.154,-0.312
-5.062,3.283,-0.319,5.099,-3.507,8.707,-0.32
-2.932,2.623,-0.328,1.555,0.134,7.154,-0.312
-5.815,8.112,-0.32,4.489,0.134,7.154,-0.312
-0.035,-0.032,-0.329,1.549,-6.44,4.799,-0.316
-1.902,3.747,-0.309,3.842,-1.857,10.082,-0.315
-2.88,1.056,-0.328,3.159,-4.754,10.251,-0.113
-2.88,1.056,-0.328,3.159,0.134,7.154,-0.312
-5.062,3.283,-0.319,5.099,0.134,7.154,-0.312
-1.603,-1.392,-0.326,3.145,-4.754,10.251,-0.113
-1.603,-1.392,-0.326,3.145,-3.446,9.56,-0.334
-0.035,-0.032,-0.329,1.549,-4.754,10.251,-0.113
-0.035,-0.032,-0.329,1.549,-3.446,9.56,-0.334
-5.062,3.283,-0.319,5.099,-3.446,9.56,-0.334
-6.44,4.799,-0.316,5.604,-1.857,10.082,-0.315
-4.437,5.31,-0.332,3.733,0.118,0.982,-0.314
-1.603,-1.392,-0.326,3.145,0.241,9.735,-0.315
-2.796,0.126,-0.323,4.341,-4.754,10.251,-0.113
0.241,9.735,-0.315,1.069,0.118,0.982,-0.314
-6.44,4.799,-0.316,5.604,-3.446,9.56,-0.334
-5.062,3.283,-0.319,5.099,0.241,9.735,-0.315
-2.002,2.958,-0.32,2.487,-5.815,8.112,-0.32
-1.603,-1.392,-0.326,3.145,-5.815,8.112,-0.32
-2.88,1.056,-0.328,3.159,-1.857,10.082,-0.315
-6.44,4.799,-0.316,5.604,-2.125,8.545,-0.323
-0.035,-0.032,-0.329,1.549,-2.125,8.545,-0.323
-2.002,2.958,-0.32,2.487,-4.754,10.251,-0.113
-2.002,2.958,-0.32,2.487,-3.446,9.56,-0.334
-2.796,0.126,-0.323,4.341,-2.125,8.545,-0.323
-0.035,-0.032,-0.329,1.549,-4.437,5.31,-0.332
0.134,7.154,-0.312,0.664,-4.754,10.251,-0.113
-3.709,3.409,-0.328,4.149,-2.125,8.545,-0.323
-2.796,0.126,-0.323,4.341,-5.815,8.112,-0.32
-4.437,5.31,-0.332,3.733,0.241,9.735,-0.315
-1.603,-1.392,-0.326,3.145,-5.062,3.283,-0.319
-1.603,-1.392,-0.326,3.145,-3.507,8.707,-0.32
-2.125,8.545,-0.323,2.486,0.118,0.982,-0.314
-0.035,-0.032,-0.329,1.549,-3.507,8.707,-0.32
-2.002,2.958,-0.32,2.487,-2.125,8.545,-0.323
-3.709,3.409,-0.328,4.149,0.241,9.735,-0.315
-1.603,-1.392,-0.326,3.145,-1.857,10.082,-0.315
-3.709,3.409,-0.328,4.149,-1.857,10.082,-0.315
-2.88,1.056,-0.328,3.159,-3.519,6.406,-0.334
-2.932,2.623,-0.328,1.555,-5.815,8.112,-0.32
-2.88,1.056,-0.328,3.159,-2.125,8.545,-0.323
0.134,7.154,-0.312,0.664,0.118,0.982,-0.314
-1.248,6.31,-0.316,0.212,-4.754,10.251,-0.113
-5.062,3.283,-0.319,5.099,-2.125,8.545,-0.323
-2.932,2.623,-0.328,1.555,-1.857,10.082,-0.315
-6.44,4.799,-0.316,5.604,-4.754,10.251,-0.113
-3.709,3.409,-0.328,4.149,-5.815,8.112,-0.32
-0.035,-0.032,-0.329,1.549,0.241,9.735,-0.315
-1.902,3.747,-0.309,3.842,-3.507,8.707,-0.32
-2.796,0.126,-0.323,4.341,-4.437,5.31,-0.332
-5.815,8.112,-0.32,4.489,0.118,0.982,-0.314
-4.754,10.251,-0.113,2.366,0.118,0.982,-0.314
-1.902,3.747,-0.309,3.842,0.241,9.735,-0.315
-2.88,1.056,-0.328,3.159,0.241,9.735,-0.315
-0.035,-0.032,-0.329,1.549,-3.709,3.409,-0.328
-2.88,1.056,-0.328,3.159,-3.507,8.707,-0.32
-2.796,0.126,-0.323,4.341,-6.44,4.799,-0.316
-3.446,9.56,-0.334,1.609,0.118,0.982,-0.314
-1.603,-1.392,-0.326,3.145,-6.44,4.799,-0.316
-2.796,0.126,-0.323,4.341,-3.507,8.707,-0.32
-1.603,-1.392,-0.326,3.145,-4.437,5.31,-0.332
-2.932,2.623,-0.328,1.555,-4.754,10.251,-0.113
-2.932,2.623,-0.328,1.555,-3.507,8.707,-0.32
-3.519,6.406,-0.334,3.083,0.118,0.982,-0.314
-2.796,0.126,-0.323,4.341,-1.857,10.082,-0.315
-2.88,1.056,-0.328,3.159,-6.44,4.799,-0.316
-2.88,1.056,-0.328,3.159,-3.446,9.56,-0.334
-2.796,0.126,-0.323,4.341,-1.248,6.31,-0.316
-6.44,4.799,-0.316,5.604,0.134,7.154,-0.312
-1.248,6.31,-0.316,0.212,0.118,0.982,-0.314
-1.902,3.747,-0.309,3.842,-5.815,8.112,-0.32
-5.815,8.112,-0.32,4.489,0.241,9.735,-0.315
-0.035,-0.032,-0.329,1.549,0.134,7.154,-0.312
-1.603,-1.392,-0.326,3.145,-2.125,8.545,-0.323
-2.88,1.056,-0.328,3.159,-1.248,6.31,-0.316
