split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
,Aloha,1,,,0.241,9.735,-0.315,1.069,,-4.754,10.251,-0.113,5.025,6.237,,,,
,Aloha,1,,,0.241,9.735,-0.315,1.069,,0.118,0.982,-0.314,8.754,15.313,,,,
,Aloha,1,,,0.134,7.154,-0.312,0.664,,-4.754,10.251,-0.113,5.79,7.937,,,,
,Aloha,1,,,0.134,7.154,-0.312,0.664,,0.118,0.982,-0.314,6.173,14.004,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-1.857,10.082,-0.315,10.277,13.121,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-3.519,6.406,-0.334,7.32,9.087,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-6.44,4.799,-0.316,8.022,10.413,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-4.754,10.251,-0.113,11.316,13.112,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-3.446,9.56,-0.334,10.18,12.221,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-2.125,8.545,-0.323,8.828,11.64,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-4.437,5.31,-0.332,6.922,8.346,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-3.507,8.707,-0.32,9.403,11.376,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,0.241,9.735,-0.315,9.771,14.288,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,-3.709,3.409,-0.328,5.034,6.371,,,,
,Aloha,1,,,-0.035,-0.032,-0.329,1.549,,0.134,7.154,-0.312,7.188,12.979,,,,
,Aloha,1,,,-1.248,6.31,-0.316,0.212,,-4.754,10.251,-0.113,5.278,6.317,,,,
,Aloha,1,,,-1.248,6.31,-0.316,0.212,,0.118,0.982,-0.314,5.501,12.385,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-1.902,3.747,-0.309,5.148,5.853,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-3.519,6.406,-0.334,8.03,8.149,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-3.709,3.409,-0.328,5.242,5.434,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,0.134,7.154,-0.312,8.721,12.042,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-4.754,10.251,-0.113,12.064,12.175,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-3.446,9.56,-0.334,11.106,11.283,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,0.241,9.735,-0.315,11.279,13.35,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-5.815,8.112,-0.32,10.395,10.529,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-5.062,3.283,-0.319,5.815,6.793,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-3.507,8.707,-0.32,10.277,10.438,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-1.857,10.082,-0.315,11.477,12.183,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-6.44,4.799,-0.316,7.856,9.476,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-4.437,5.31,-0.332,7.277,7.409,,,,
,Aloha,1,,,-1.603,-1.392,-0.326,3.145,,-2.125,8.545,-0.323,9.951,10.702,,,,
,Aloha,1,,,-1.902,3.747,-0.309,3.842,,-4.754,10.251,-0.113,7.104,9.37,,,,
,Aloha,1,,,-1.902,3.747,-0.309,3.842,,-1.857,10.082,-0.315,6.335,9.386,,,,
,Aloha,1,,,-1.902,3.747,-0.309,3.842,,-3.507,8.707,-0.32,5.213,7.635,,,,
,Aloha,1,,,-1.902,3.747,-0.309,3.842,,0.241,9.735,-0.315,6.36,10.553,,,,
,Aloha,1,,,-1.902,3.747,-0.309,3.842,,-5.815,8.112,-0.32,5.861,7.715,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,-1.857,10.082,-0.315,7.126,8.691,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,0.241,9.735,-0.315,7.139,9.97,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,-5.815,8.112,-0.32,6.411,6.919,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,-4.754,10.251,-0.113,7.798,8.814,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,-3.446,9.56,-0.334,6.758,7.922,,,,
,Aloha,1,,,-2.002,2.958,-0.32,2.487,,-2.125,8.545,-0.323,5.589,7.322,,,,
,Aloha,1,,,-2.125,8.545,-0.323,2.486,,0.118,0.982,-0.314,7.889,12.665,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-3.446,9.56,-0.334,9.456,9.456,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-3.519,6.406,-0.334,6.321,6.321,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,0.241,9.735,-0.315,10.077,11.522,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-4.754,10.251,-0.113,10.315,10.346,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-2.125,8.545,-0.323,8.445,8.874,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-5.815,8.112,-0.32,8.537,8.7,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-4.437,5.31,-0.332,5.438,5.581,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-6.44,4.799,-0.316,5.925,7.648,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-3.507,8.707,-0.32,8.61,8.61,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-1.857,10.082,-0.315,10,10.355,,,,
,Aloha,1,,,-2.796,0.126,-0.323,4.341,,-1.248,6.31,-0.316,6.375,8.594,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-5.815,8.112,-0.32,7.642,7.768,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-4.754,10.251,-0.113,9.387,9.414,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,0.134,7.154,-0.312,6.803,9.281,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-1.857,10.082,-0.315,9.084,9.422,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-3.519,6.406,-0.334,5.388,5.388,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-2.125,8.545,-0.323,7.527,7.941,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,0.241,9.735,-0.315,9.223,10.589,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-3.507,8.707,-0.32,7.677,7.677,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-6.44,4.799,-0.316,5.165,6.715,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-3.446,9.56,-0.334,8.523,8.523,,,,
,Aloha,1,,,-2.88,1.056,-0.328,3.159,,-1.248,6.31,-0.316,5.502,7.661,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-3.446,9.56,-0.334,6.955,6.955,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-2.125,8.545,-0.323,5.977,6.381,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,0.134,7.154,-0.312,5.471,7.72,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-5.815,8.112,-0.32,6.2,6.2,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-1.857,10.082,-0.315,7.536,7.862,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-4.754,10.251,-0.113,7.846,7.846,,,,
,Aloha,1,,,-2.932,2.623,-0.328,1.555,,-3.507,8.707,-0.32,6.111,6.111,,,,
,Aloha,1,,,-3.446,9.56,-0.334,1.609,,0.118,0.982,-0.314,9.289,13.246,,,,
,Aloha,1,,,-3.507,8.707,-0.32,2.617,,0.118,0.982,-0.314,8.533,12.401,,,,
,Aloha,1,,,-3.519,6.406,-0.334,3.083,,0.241,9.735,-0.315,5.021,5.201,,,,
,Aloha,1,,,-3.519,6.406,-0.334,3.083,,0.118,0.982,-0.314,6.531,10.112,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,-4.754,10.251,-0.113,6.925,7.048,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,0.134,7.154,-0.312,5.367,6.896,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,-2.125,8.545,-0.323,5.375,5.556,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,0.241,9.735,-0.315,7.458,8.204,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,-1.857,10.082,-0.315,6.926,6.926,,,,
,Aloha,1,,,-3.709,3.409,-0.328,4.149,,-5.815,8.112,-0.32,5.153,5.153,,,,
,Aloha,1,,,-4.437,5.31,-0.332,3.733,,0.118,0.982,-0.314,6.283,9.371,,,,
,Aloha,1,,,-4.437,5.31,-0.332,3.733,,0.241,9.735,-0.315,6.439,6.624,,,,
,Aloha,1,,,-4.754,10.251,-0.113,2.366,,0.118,0.982,-0.314,10.474,14.137,,,,
,Aloha,1,,,-5.062,3.283,-0.319,5.099,,-3.507,8.707,-0.32,5.643,5.643,,,,
