split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
test,Brinnon,2,,,-3.158,-3.041,-0.411,1.197,,-4.22,5.544,-0.413,8.651,11.732,,,,
test,Brinnon,2,,,-2.311,10.52,-0.418,3.729,,-4.889,5.395,-0.413,5.738,13.267,,,,
test,Brinnon,2,,,-1.89,-0.389,-0.436,1.533,,-2.201,9.371,-0.421,9.765,21.721,,,,
test,Brinnon,2,,,3.535,9.299,-0.388,2.969,,-2.201,9.371,-0.421,5.736,23.937,,,,
test,Brinnon,2,,,3.517,3.06,-0.396,5.4,,-7.372,12.311,-0.395,14.288,19.694,,,,
test,Brinnon,2,,,-3.507,-0.557,-0.44,1.913,,3.441,11.545,-0.376,13.955,18.473,,,,
test,Brinnon,2,,,0.425,-2.823,-0.415,1.972,,3.441,11.545,-0.376,14.681,17.53,,,,
test,Brinnon,2,,,3.197,-0.617,-0.406,3.2,,0.275,11.572,-0.393,12.534,14.746,,,,
test,Brinnon,2,,,1.993,-0.033,-0.413,1.473,,0.307,9.131,-0.407,9.318,11.074,,,,
test,Brinnon,2,,,3.441,11.545,-0.376,3.339,,-7.618,4.223,-0.399,13.263,14.732,,,,
test,Brinnon,2,,,-6.279,4.264,-0.416,4.934,,-3.298,10.537,-0.418,6.945,9.579,,,,
test,Brinnon,2,,,-5.24,-0.51,-0.429,2.152,,-0.078,-0.401,-0.425,5.163,5.163,,,,
test,Brinnon,2,,,3.454,4.234,-0.4,3.99,,-6.506,5.31,-0.41,10.018,13.021,,,,
test,Brinnon,2,,,-5.308,1.163,-0.441,4.81,,-2.311,10.52,-0.418,9.825,15.539,,,,
test,Brinnon,2,,,1.945,1.53,-0.403,2.611,,-4.889,5.395,-0.413,7.851,8.033,,,,
test,Brinnon,2,,,-3.355,-1.772,-0.427,1.084,,-2.608,11.713,-0.409,13.505,18.942,,,,
test,Brinnon,2,,,-3.158,-3.041,-0.411,1.197,,-2.201,9.371,-0.421,12.449,22.611,,,,
test,Brinnon,2,,,-5.308,1.163,-0.441,4.81,,-6.099,10.932,-0.411,9.801,10.578,,,,
test,Brinnon,2,,,-0.362,4.173,-0.412,4.997,,-7.561,7.44,-0.405,7.905,9.207,,,,
test,Brinnon,2,,,1.945,1.53,-0.403,2.611,,-7.099,9.067,-0.409,11.773,14.244,,,,
test,Brinnon,2,,,-1.809,4.294,-0.418,4.475,,-4.631,10.117,-0.417,6.471,13.242,,,,
test,Brinnon,2,,,-0.349,5.555,-0.414,4.875,,-6.352,6.169,-0.235,6.037,6.1,,,,
test,Brinnon,2,,,-5.24,-0.51,-0.429,2.152,,-0.349,5.555,-0.414,7.792,8.986,,,,
test,Brinnon,2,,,0.425,-2.823,-0.415,1.972,,-5.312,2.797,-0.423,8.032,10.946,,,,
