 startX, startY, startZ, goalX, goalY, goalZ
-3.158,-3.041,-0.411,-4.22,5.544,-0.413
-2.311,10.52,-0.418,-4.889,5.395,-0.413
-1.89,-0.389,-0.436,-2.201,9.371,-0.421
3.535,9.299,-0.388,-2.201,9.371,-0.421
3.517,3.06,-0.396,-7.372,12.311,-0.395
-3.507,-0.557,-0.44,3.441,11.545,-0.376
0.425,-2.823,-0.415,3.441,11.545,-0.376
3.197,-0.617,-0.406,0.275,11.572,-0.393
1.993,-0.033,-0.413,0.307,9.131,-0.407
3.441,11.545,-0.376,-7.618,4.223,-0.399
-6.279,4.264,-0.416,-3.298,10.537,-0.418
-5.24,-0.51,-0.429,-0.078,-0.401,-0.425
3.454,4.234,-0.4,-6.506,5.31,-0.41
-5.308,1.163,-0.441,-2.311,10.52,-0.418
1.945,1.53,-0.403,-4.889,5.395,-0.413
-3.355,-1.772,-0.427,-2.608,11.713,-0.409
-3.158,-3.041,-0.411,-2.201,9.371,-0.421
-5.308,1.163,-0.441,-6.099,10.932,-0.411
-0.362,4.173,-0.412,-7.561,7.44,-0.405
1.945,1.53,-0.403,-7.099,9.067,-0.409
-1.809,4.294,-0.418,-4.631,10.117,-0.417
-0.349,5.555,-0.414,-6.352,6.169,-0.235
-5.24,-0.51,-0.429,-0.349,5.555,-0.414
0.425,-2.823,-0.415,-5.312,2.797,-0.423
-5.24,-0.51,-0.429,-1.783,6.654,-0.407
-6.327,-0.677,-0.423,2,6.949,-0.399
-3.507,-0.557,-0.44,-7.561,7.44,-0.405
-3.158,-3.041,-0.411,-6.352,6.169,-0.235
3.692,5.649,-0.401,-6.279,4.264,-0.416
0.275,11.572,-0.393,-0.349,5.555,-0.414
0.275,11.572,-0.393,-0.362,4.173,-0.412
-3.355,-1.772,-0.427,-0.362,4.173,-0.412
3.113,-2.889,-0.396,-6.099,10.932,-0.411
2,6.949,-0.399,-0.369,2.003,-0.412
3.722,1.918,-0.388,-6.099,10.932,-0.411
-6.327,-0.677,-0.423,-0.349,5.555,-0.414
-6.327,-0.677,-0.423,3.441,11.545,-0.376
3.113,-2.889,-0.396,-6.589,3.768,-0.418
-0.362,4.173,-0.412,-6.848,9.883,-0.411
3.535,9.299,-0.388,-7.561,7.44,-0.405
-3.355,-1.772,-0.427,1.863,11.703,-0.389
3.197,-0.617,-0.406,-7.561,7.44,-0.405
3.454,4.234,-0.4,-1.783,6.654,-0.407
-3.086,4.325,-0.421,-3.298,10.537,-0.418
0.275,11.572,-0.393,-6.279,4.264,-0.416
-3.507,-0.557,-0.44,-7.099,9.067,-0.409
-0.078,-0.401,-0.425,3.65,6.904,-0.396
3.454,4.234,-0.4,3.441,11.545,-0.376
1.807,-1.575,-3.128,-5.18,-0.169,-3.15
-1.89,-0.389,-0.436,3.454,4.234,-0.4
1.863,11.703,-0.389,-6.279,4.264,-0.416
-5.24,-0.51,-0.429,3.113,-2.889,-0.396
-5.24,-0.51,-0.429,-0.369,2.003,-0.412
1.945,1.53,-0.403,3.535,9.299,-0.388
0.275,11.572,-0.393,-7.894,6.029,-0.402
3.441,11.545,-0.376,-6.352,6.169,-0.235
3.113,-2.889,-0.396,3.65,6.904,-0.396
1.924,0.616,-0.412,-2.311,10.52,-0.418
1.993,-0.033,-0.413,-6.352,6.169,-0.235
3.517,3.06,-0.396,-6.848,9.883,-0.411
0.425,-2.823,-0.415,-3.298,10.537,-0.418
1.993,-0.033,-0.413,-4.631,10.117,-0.417
-1.89,-0.389,-0.436,-7.099,9.067,-0.409
-1.89,-0.389,-0.436,1.863,11.703,-0.389
3.441,11.545,-0.376,-2.311,10.52,-0.418
3.517,3.06,-0.396,-3.298,10.537,-0.418
3.692,5.649,-0.401,-7.099,9.067,-0.409
-1.783,6.654,-0.407,-6.099,10.932,-0.411
1.924,0.616,-0.412,0.307,9.131,-0.407
1.956,8.342,-0.395,-6.352,6.169,-0.235
3.197,-0.617,-0.406,3.441,11.545,-0.376
-2.608,11.713,-0.409,-4.889,5.395,-0.413
-3.507,-0.557,-0.44,-2.201,9.371,-0.421
-3.355,-1.772,-0.427,3.113,-2.889,-0.396
-7.618,4.223,-0.399,-2.608,11.713,-0.409
0.425,-2.823,-0.415,-4.22,5.544,-0.413
-7.618,4.223,-0.399,-4.631,10.117,-0.417
-6.327,-0.677,-0.423,-4.22,5.544,-0.413
-6.327,-0.677,-0.423,-3.298,10.537,-0.418
-7.618,4.223,-0.399,-3.298,10.537,-0.418
-7.618,4.223,-0.399,-2.201,9.371,-0.421
-7.099,9.067,-0.409,-2.608,11.713,-0.409
-5.24,-0.51,-0.429,-2.608,11.713,-0.409
-1.784,8.351,2.903,3.787,10.411,2.929
-5.24,-0.51,-0.429,-6.848,9.883,-0.411
-5.308,1.163,-0.441,1.956,8.342,-0.395
-0.369,2.003,-0.412,-7.561,7.44,-0.405
3.441,11.545,-0.376,-3.086,4.325,-0.421
0.157,6.768,-0.408,-2.608,11.713,-0.409
-3.507,-0.557,-0.44,1.924,0.616,-0.412
-3.355,-1.772,-0.427,-6.099,10.932,-0.411
-3.355,-1.772,-0.427,-6.848,9.883,-0.411
-1.809,4.294,-0.418,-2.608,11.713,-0.409
-1.809,4.294,-0.418,-6.848,9.883,-0.411
