split, sceneId, startX, startY, startZ, startAngle, goalX, goalY, goalZ, dist, pathDist,complexity
train,Aloha,-1.603,-1.392,0.2,3.145,-1.902,3.747,-0.309,5.148,5.853,1.137
train,Aloha,-1.902,3.747,0.2,3.842,-4.754,10.251,-0.113,7.104,9.37,1.319
train,Aloha,-1.603,-1.392,0.2,3.145,-3.519,6.406,-0.334,8.03,8.149,1.015
train,Aloha,-3.507,8.707,0.2,2.617,0.118,0.982,-0.314,8.533,12.401,1.453
train,Aloha,-0.035,-0.032,0.2,1.549,-1.857,10.082,-0.315,10.277,13.121,1.277
train,Aloha,-2.932,2.623,0.2,1.555,-3.446,9.56,-0.334,6.955,6.955,1.000
train,Aloha,-1.603,-1.392,0.2,3.145,-3.709,3.409,-0.328,5.242,5.434,1.037
train,Aloha,-2.88,1.056,0.2,3.159,-5.815,8.112,-0.32,7.642,7.768,1.016
train,Aloha,-3.519,6.406,0.2,3.083,0.241,9.735,-0.315,5.021,5.201,1.036
train,Aloha,-2.932,2.623,0.2,1.555,-2.125,8.545,-0.323,5.977,6.381,1.068
train,Aloha,-2.796,0.126,0.2,4.341,-3.446,9.56,-0.334,9.456,9.456,1.000
train,Aloha,-2.796,0.126,0.2,4.341,-3.519,6.406,-0.334,6.321,6.321,1.000
train,Aloha,-6.44,4.799,0.2,5.604,0.118,0.982,-0.314,7.587,11.438,1.508
train,Aloha,-2.002,2.958,0.2,2.487,-1.857,10.082,-0.315,7.126,8.691,1.220
train,Aloha,-2.002,2.958,0.2,2.487,0.241,9.735,-0.315,7.139,9.97,1.397
train,Aloha,-2.796,0.126,0.2,4.341,0.241,9.735,-0.315,10.077,11.522,1.143
train,Aloha,-1.603,-1.392,0.2,3.145,0.134,7.154,-0.312,8.721,12.042,1.381
train,Aloha,-6.44,4.799,0.2,5.604,-1.248,6.31,-0.316,5.407,5.607,1.037
train,Aloha,-0.035,-0.032,0.2,1.549,-3.519,6.406,-0.334,7.32,9.087,1.241
train,Aloha,-3.709,3.409,0.2,4.149,-4.754,10.251,-0.113,6.925,7.048,1.018
train,Aloha,0.241,9.735,0.2,1.069,-4.754,10.251,-0.113,5.025,6.237,1.241
train,Aloha,-3.709,3.409,0.2,4.149,0.134,7.154,-0.312,5.367,6.896,1.285
train,Aloha,-5.062,3.283,0.2,5.099,-3.507,8.707,-0.32,5.643,5.643,1.000
train,Aloha,-2.932,2.623,0.2,1.555,0.134,7.154,-0.312,5.471,7.72,1.411
train,Aloha,-5.815,8.112,0.2,4.489,0.134,7.154,-0.312,6.026,6.529,1.083
train,Aloha,-0.035,-0.032,0.2,1.549,-6.44,4.799,-0.316,8.022,10.413,1.298
train,Aloha,-1.902,3.747,0.2,3.842,-1.857,10.082,-0.315,6.335,9.386,1.482
train,Aloha,-2.88,1.056,0.2,3.159,-4.754,10.251,-0.113,9.387,9.414,1.003
train,Aloha,-2.88,1.056,0.2,3.159,0.134,7.154,-0.312,6.803,9.281,1.364
train,Aloha,-5.062,3.283,0.2,5.099,0.134,7.154,-0.312,6.48,7.376,1.138
train,Aloha,-1.603,-1.392,0.2,3.145,-4.754,10.251,-0.113,12.064,12.175,1.009
train,Aloha,-1.603,-1.392,0.2,3.145,-3.446,9.56,-0.334,11.106,11.283,1.016
train,Aloha,-0.035,-0.032,0.2,1.549,-4.754,10.251,-0.113,11.316,13.112,1.159
train,Aloha,-0.035,-0.032,0.2,1.549,-3.446,9.56,-0.334,10.18,12.221,1.200
train,Aloha,-5.062,3.283,0.2,5.099,-3.446,9.56,-0.334,6.481,6.485,1.001
train,Aloha,-6.44,4.799,0.2,5.604,-1.857,10.082,-0.315,6.994,7.275,1.040
train,Aloha,-4.437,5.31,0.2,3.733,0.118,0.982,-0.314,6.283,9.371,1.491
train,Aloha,-1.603,-1.392,0.2,3.145,0.241,9.735,-0.315,11.279,13.35,1.184
train,Aloha,-2.796,0.126,0.2,4.341,-4.754,10.251,-0.113,10.315,10.346,1.003
train,Aloha,0.241,9.735,0.2,1.069,0.118,0.982,-0.314,8.754,15.313,1.749
train,Aloha,-6.44,4.799,0.2,5.604,-3.446,9.56,-0.334,5.624,5.624,1.000
train,Aloha,-5.062,3.283,0.2,5.099,0.241,9.735,-0.315,8.352,8.674,1.039
train,Aloha,-2.002,2.958,0.2,2.487,-5.815,8.112,-0.32,6.411,6.919,1.079
train,Aloha,-1.603,-1.392,0.2,3.145,-5.815,8.112,-0.32,10.395,10.529,1.013
train,Aloha,-2.88,1.056,0.2,3.159,-1.857,10.082,-0.315,9.084,9.422,1.037
train,Aloha,-6.44,4.799,0.2,5.604,-2.125,8.545,-0.323,5.715,5.715,1.000
train,Aloha,-0.035,-0.032,0.2,1.549,-2.125,8.545,-0.323,8.828,11.64,1.319
